title,posted_at,description,skills,fixed_price
Earn Up to $1600 Month Writing for Survival/Outdoors Blog | $3 per 100 words | 400 Word Trial Offer,2021-11-12T03:07:44.705Z,"Looking to pay a writer up to $400+ a week to write content for either my survival or outdoors blog at a rate of $3 per 100 words (3¢ per word). 

The first job offer will be for the first 400 words of an article and I'll hire you for the other 1000+ words if you write the first 400 good. This way I can see your writing skill and how you follow guidelines. If you accept the job I'll let you know how I like my blog articles written and you can decide if you want to accept or not.

All articles will be informational posts only.

For example, I may give you the keyword ""how to survive a bear attack"" and you'll have to write a 1,000+ word blog article on the subject. I expect you to research the topic thoroughly so you can be as helpful as possible to the reader.

Make sure to write pineapple at the beginning of your message to let me know you read the job offer all the way through.

Look forward to hearing from you! 

P.S. My total monthly spending is $1600+ but I'll be hiring multiple writers to fulfill my content needs. This means it's unlikely for you to make the total amount unless you're an exceptional writer who can write 53,000+ words a month. So I guess it's technically possible, just highly unlikely.","Blog Writing, Content Writing, SEO Writing, Blog Content",$12
Shop concept design ,2021-12-21T16:00:30.766Z,"We are a beach product suppliers from manufactures 

We will like to create our own retail shops 

i will like to list the products we sell 
and to create a cool and fresh design for the shops 
so we can start looking for franchise owners ","Retail & Consumer Goods, Graphic Design, 3D Design, 3D Modeling, Interior Design, shop design","$2,000"
English to Danish translation project,2022-01-04T11:45:57.836Z,"we are looking for experienced English to Danish translator to do an assignment of 239 words documents
deadline:5th of Jan 9:00 am (GMT+8)HONG KONG
high-quality translation is very important. avoid machine translation","English to Danish Translation, Danish, Translation, Danish to English Translation, Proofreading, English",$10
"Develop a simple Unity app - ""Grow your own team""",2021-12-10T14:02:19.490Z,"Need to develop little app on Unity ver.2019. 

Full description of the task in the attachment. Please read all clearly. More information and manuals I provide you after we discuss main moments of concept and idea of app.

Design and concept is in the attached document.
https://docs.google.com/document/d/1MrrcTu_zfMd0PAvaxQXz8TWP7bNKqHdk7WXnQ5ZjssY/edit?usp=sharing","Android, Phone, Android App Development, Unity",$30
GIS & Front end development - Interactive webmap dashboard,2021-09-26T08:04:17.924Z,"GIS / Frontend developer needed to help design and build an interactive webmap with infographics updating on a dashboard below map. 
Your tasks will be to setup the UI with the ability to toggle layers on/off, transparency etc
Layers include Value based polygons - derived from postgresql DB
Shapefiles with meta data
Point data (points of interest) 

Ideal candidate will work closely in with our Data science team developing both the frontend using API nodes and helping to develop other datasets both back-end and front-end. 

Map visualisations are key as well as overall user experience. This product will be EASY to USE and very beautifully show the data- both on the map and in the infographics dashboard. 

There are upto 20 infographics, however there will be about 5 different TYPES which can be used from any of the REACT libraries. 

A considered colour scheme and visualiation strategy for the data will be required to ensure this is easy to use and show all the data in a pretty way.

Looking for someone who can lead from the front and think big while providing results on the website every week. 

Weekly meetings with the whole team, with the aim that the prototype will be ready within 4-5 weeks.","PostgreSQL, Geographic Information System (GIS), OpenStreetMap, QGIS, GeoJSON, React, OpenLayers, React Native, Map","$2,000"
Civil and Structural Construction Documents for New Home Build in PA,2021-10-28T17:54:56.934Z,"I am a general contractor that needs a complete set of civil and structural construction documents made for a custom built residential home on a slope in the city of Pittsburgh.

An architectural engineer has drawn a floor plan and elevations that I need converted into blueprints including cross sections for the site plan, foundation, grading plan, curb cut, stormwater/environmental, and structural design all of which needs to be stamped by the appropriate parties (civil, structural).  I have the topographical survey and geotechnical report for the site already completed.  I need permit ready plans that can be submitted to the city upon the completion of Zoning board approval.  Please include in your cost or price the time for revisions as the city rarely approves on the first shot.  Also include your timeline for completion.  Site plan, grading plan are a priority for timing and submitting to zoning, structural aren't as urgent until zoning approval. 

Thank you!
Ian","Residential, 2D Design, Drafting, Construction, Autodesk AutoCAD","$8,000"
"Optimize Ubuntu Server for osm, carto, mapnik rendering ",2021-12-13T10:42:34.277Z,"We have an Ubuntu dedicated root server with
Intel Xeon E5 2630v4 10 x 2.20 GHz
256GB
2TB SSD 

So actually enough power.

We have created 10 styles on carto that need to be rendered on our server. For this we use the batch render process rendered.
As an example
render_list --map=blueprint -a -z 5 -Z 17 --num-threads=4 --max-load=9999999

Unfortunately our render process stops every time after about 15 -20 minutes.
So we need a specialist who knows Ubuntu, PostGreSql, OSM, Mapnik and Carto and may have done something like this before. 

The styles are all available and already transferred, the database has all OSM data from Europe. So it's just about optimizing the rendering process.

Translated with www.DeepL.com/Translator (free version)","Ubuntu, Linux, PostgreSQL, CartoDB, OpenStreetMap",$150
"Attract travel agents, tour operators and experts to join our platform",2021-11-05T10:36:44.572Z,"Experienced individual with contacts of travel agents, tour operators, tourist experts to contact and attract DIRECTLY travel agents to join/ sign up in our web platform.
We should attract agents from all over the world but we should begin from Cyprus, Greece, Israel, EU, Russia, and UK. 
Attached you can find a brief description of the company's services for your ease of reference.
In case the cooperation with the individual is fruitful then, the individual might continue cooperation with the Company as much as needed","Customer Service, Lead Generation, Marketing Strategy, Email Communication, Sales",$400
Business Operations,2021-12-11T12:51:17.100Z,"We're looking for the right-hand person to our Founder. This is a great opportunity to join a small yet growing company with a solid track record of success and a focus on data analytics

Responsibilities

- Sales and Marketing for the analytics service
- Hiring the right talent
- Administrative tasks of managing business accounts and calendars
- Managing employees and helping them deliver the best work
- Content management on website & social media

Qualifications

- Bachelor's degree or equivalent
- Proficient in English & MS Office Tools
- Experience in managing multiple priorities & administrative coordination
- Well-organized, detail-oriented, ability to multi-task with great follow-up skills
- Strong written and verbal communication skills","Candidate Recommendations, Compensation & Benefits, Employee Relations, Recruiting, Training, Procedure Development, Policy, Benefits, Candidate Evaluations, Compensation, Compensation Reports, Job Posts, Payroll Accounting, Terminations, Administrative Support, Operations, Strategy, Business Plan","$1,000"
Ecom Facebook Ads / Google Ads Media Buyer (No Agencies),2021-12-18T00:47:59.222Z,"- Setup & Manage Facebook Ads account
- Test for profitable cold audiences 
- Profitably run & manage retargetting campaigns
- Bi-weekly Reporting 

Budget: $500 - $1000 per Ad Account 

Must have over $100,000+ in Ad Spend","Facebook, Facebook Advertising, Retargeting",$800
Looking for a Developer to build a custom ERP solution with open source technology,2021-12-08T09:24:29.629Z,"I run a Spectacle wholesale business, which includes sales of Spectacle Frames, Accessories and Lenses. I require an ERP to be built on an already existing platform like ODOO or any other platform out there that best suits my requirement.

I require an ERP to be built for the below mentioned usage.

1. Generate Purchase Orders for Manufacturers
2. Update Purchase Orders based on delivery schedule
3. Update Inventory upon receipt of goods
4. Tag Photographs of each product once uploaded in Inventory
5. Make Sales invoices or link to TALLY(TALLY Integration)
6. Generate Primary orders based on deficit in Sales orders executed
7. Enter Shipping details and Delivery details individually for each invoice generated
8. Link returns to the Invoices generated if any
9. Payment due and market Outstanding dashboard.

Basically what i am looking for is a customised solution to be built for Inventory management and an ERP solution. This can be built on an Existing platform or built from scratch. ","ERP Software, Enterprise Resource Planning (ERP)",$998
"Graphic designer needed to design wedding documents: hotel map, key card sleeves, signage ",2021-12-22T14:33:10.588Z,"Looking for a fast graphic designer to work on branding for a wedding. We have a few ideas and logos in mind. Articles needed include: welcome sign, weekend itinerary for wedding guest bags, menu, venue map","Graphic Design, Brochure, Minimal","$1,500"
Project 49 - Laravel Full-time Developers. Long-term projects.,2021-12-28T08:17:57.018Z,"Laravel Full-time Developers. Long-term projects. 

Opportunity to work on our projects (software) on a fixed-price basis.

Unlimited Revision needed. 

Send your Industry experience in Application developments, type of applications developed, etc for us to select the best offer. 

Also, mention your working hours per day, (Including the time band), and the number of days per week/month.

Also, send us your hourly rate, so developers who had given us the lowest hourly rate (with the appropriate Experience) will be given the task documents to get the time & Fixed priced offers.

Good prospect for the right developers, based on the performances evaluated over a period of time
","Laravel, MySQL, PHP",$5
Create shapemap in PowerBI (today!),2022-01-02T12:08:06.312Z,"I have a table with real estate properties. Each property is either for sale, or for rent . Each property has a latitue and longitude coordinates (see attachment).

We want to take that data, and use it to populate the colors of a shapemap, whereby within each of the shapes, I can aggregate the average sale price, average rent price, average yield, etc.

This should be a straight forward job for someone familiar with shapemaps in PowerBI.

Looking for someone who can start and finish today!

Please clearly state your approach in your offer, looking to hire urgently.

Thank you!

screenshot1: property info table
screenshot2: example of the shape map where data needs to be aggregated

Alternative shapefiles can be used - the main challenge will remain the same: how to map the lat lons to the specific shape tiles.
","Digital Mapping, Microsoft Power BI, Data Visualization, Visualization, Microsoft Power BI Data Visualization, Data Analysis",$80
Make my app   live  in GP,2021-12-20T17:14:13.840Z,"Hello, I have a ready-made application (apk), but I don't have an account. I am looking for an Android developer, you will need to publish an application. You will receive all materials from us. This is a 15-minute job as I have everything ready on my end, so you just need to upload it. 
We do not collect and will not ask you for your account data, or any other personal data.

After publish and end this contract we do application updates. We design/write/fix everything and send it to you in a finished form for publishing. 1 update about 5-10 dollars.

Please send a SCREENSHOT  of your console where you will download our application,  with all the apps in your account. If you have at least 1 app and there are no bad, suspended apps, violating Google policy,  then you are the right fit for us. Please attach it to your proposal, otherwise, your proposal will not be considered.","Android, Kotlin, Java, Java, React Native, In-App Advertising, Android, JavaScript, Kotlin",$17
Add 2-3 Screens in an Existing Flutter & Firebase App,2022-01-09T05:58:48.164Z,"Hello There,

I have an existing Flutter Android App and need to Add 2-3 Simple Form Screens to it.
If you have experience with Firebase and Flutter then this Job is for you. Next, more projects are waiting for you. Complete this quick and grab the next Opportunity.

Attach your recent Work Projects in a similar Category.
Use #Lookstor in your application.","Firebase, Flutter, Android, Phone, Mobile App Development, Android App Development",$20
MS Office Automation - Outlook AddIn,2021-12-14T05:10:07.433Z,"Your tasks include:
●Involvement in SDLC of Microsoft .Net based (VB.net) Microsoft Office Automation applications including analysis, design, development, coordination, implementation and maintenance of the product. 
●Required to work in a fast-paced agile environment and with a team of dynamic Software Engineers to develop end-to-end desktop applications.
●You will develop Microsoft Office Automation applications using Microsoft .Net technologies, RESTful web services, HTML5, CSS3, JavaScript frameworks, SQL Server etc.
●You will use .NET using Visual Studio as a primary technology to develop applications.
●You are always willing to work in a constantly changing world and have ability to adapt to new technologies faster.


What You should have:
●You have a bachelor’s degree (B. Tech) in computer science, Mechanical engineering or related field with excellent academic records (75-85%) across 10th,12th and Engineering OR B.Sc. with MCA.
●You must have 5+ years’ experience in developing desktop application using Microsoft .Net technologies.
●3+ years’ experience in developing desktop applications using VB.NET or C# 
●Experience in developing MS Office Automation product is a plus.
●You should have strong analytical skills and good in Data Structure and Algorithm
design concepts, which is really required in this role.
●Detail-oriented, Critical-thinking, Experience or done projects with software designing in a test-driven environment.
●You must possess excellent communication Skills both written and oral, and you are a fast learner with an ability to adapt quickly. ","Microsoft Outlook, Microsoft Outlook Development, C#, Desktop Applications, .NET Framework, Visual Basic, Windows, VB.NET",$500
iOS App to display multi media with a basic map integration,2022-01-06T01:34:16.459Z,"Need an MVP version of an iOS app. Based on the results, there are many enhancements that we'd like to make over time, so this project will expand after a successful first version.

The app will require front end and back end development including any database work, APIs, etc. You will be starting with designs only. 

The app will pull content (text, photos, audio) from a server so that the app can be used offline. 

The app will include the following pages:

1) A 'Welcome' page with text and images and a 'get started' link
2) 'Overview' pages that contain text, images, a button to play a pre-recorded audio clip and 3-4 links to other pages in the app (there will be multiple 'Overview' pages, but each will have the same layout, links and content.
3) 'Map' pages for each 'Overview' page. Each map page will display a 'Location' as well as the user's location. 
4) 'Location' pages for each 'Overview' page. Each location page will auto-start when the user reaches the location on page 3. The location page will have a button to play a pre-recorded audio clip and play a slideshow of images in sync with the audio clip. This may be a audio/video file if easier. The user should be able to replay, the audio/pictures. This page will also have a link that goes to the next 'Overview' page.

There may be multiple sets of 2-4, as many as 10. 

5) 'Thank You' page that is displayed after all the above sets are complete. The thank you page will include text, images and a few links - including external links to Safari and to Facebook for sharing.

We are open to recommendations on how to store the required data. The app should pull in all of the content (audio, video, text, images, location data, etc.) required for the full session.

The app will also have a 'publisher' version to create the experiences above. 

I have a prototype and many of the image assets already. They are in a Figma design.

If you are interested, I can provide a link to a website that's in development that provides an overview of the solution. It will explain better what the app will do and the purpose of the publisher app.

In your response, please include links, videos, etc. that show projects you have completed with similar requirements.","iOS, Map Integration, Location, User Profile Creation, Camera, iOS Development","$1,500"
Digital artist needed to draw digital interactive map for website,2021-12-11T01:36:38.469Z,"I'm looking to have a digital image of a fictional setting illustrated for a page on my website. It will be of a modern metropolitan setting, so I need a lot of skyscrapers, schools, and bridges. This map is also needed to display economic inequality. Parts of it needs to be very dark and desolate, highlighting that these areas are food desserts, while others need to be vibrant. I'll need to be able to make the map digital and interactive. 

The project will begin in February. I would like to have it completed in three months. 

Thank you. ","Maps, Graphic Design, Architectural Graphics, Drawing, Digital Art",$350
Rank my google business to No 1 on google map,2022-01-05T02:35:30.794Z,"I am looking for an expert in google Map ranking

He/She should be able to make a business rank Number 1 in 4 weeks or less on Google maps

We ran an agency and we need someone to join our team that can help rank our customers on google maps.

The pay will be per project and it negotiable for the right person
","Google My Business, SEO Keyword Research, SEO, Google Maps API, Google Local Business Optimization",$50
Add Azure AD authentication to DRF/React project,2022-01-01T11:22:09.359Z,"Hello,

I need to integrate the Azure authentication with React - Metronic Admin Dashboard Theme and the Django Rest Framework app.

Scope:
1 Login to Metronic Admin Theme using Azure AD user.
2 If does not exist: create Django user from Azure AD user (do not store password)
3 Populate name and email address on the profile page (Metronic Admin Theme Profile)
4 List all the logged user groups via API (DRF).

For React frontend authentication utilize Microsoft @azure/msal-react @azure/msal-browser library.
For DRF backend authentication utilize 'oauth2_provider', 'social_django’, ‘drf_social_oauth2' modules

The attached architecture diagram describes the authentication flow between React, DRF, and Azure AD.
Project code development needs to follow best practices.
Follow the Metronic authentication structure.
Code needs to be well documented!

Thanks","Django, Redux, TypeScript, React, API, JavaScript, Microsoft Azure, Python","$4,000"
Webscraping.io sitemap needed  (exporting of a JSON),2021-12-09T17:58:20.503Z,"Using the chrome extension wbescraper.io,  please create a sitemap for

https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/industry-licensees-applicants/licensed-cultivators-processors-sellers.html

to extract the table titled:

Table: Authorized licensed cultivators, processors and sellers under the Cannabis Act

The job is complete when you provide a JSON that I can import, and extract from the above table.  I need the JSON because I need to extract the table every few days.

If you know how to use webscraper, this will take 5 minutes.","JSON, webscrapping",$15
A map locator solution for an existing word press site ,2021-12-14T15:06:38.586Z,"I need a solution for someone to find a provider of our product on their area. A map locator for an existing word press site   We will add the providers as we get them , and the customer needs to be able to go on the site type their address and find a local provider ","WordPress, Web Programming, Web Design, PHP, HTML, JavaScript, Graphic Design, HTML5, MySQL, CSS",$100
Create a Flutterflow Prototype ,2021-12-29T17:34:42.843Z,"We would like to create an app prototype using the tool Flutterflow.

We have wireframed a clickable version in Figma that can be looked at: 

https://www.figma.com/proto/3JyUelEmdRSX9Qsj4Ua6Ma/Bob-The-Builder-App?page-id=2434%3A2496&node-id=2437%3A5733&viewport=241%2C48%2C0.02&scaling=min-zoom&starting-point-node-id=2437%3A10546&show-proto-sidebar=1



","flutterflow, Mobile App Design, Prototype, Software Design","$3,000"
Bigcommerce theme change,2021-12-22T15:01:18.161Z,"o	details: fixed contract, include link to figma in summary, and mention what we've discussed, for payment add 4 milestones (on start, on completion and 2 deliverables) total should be 3900 excluding fees",BigCommerce,"$3,900"
Looking to create an image to show our physical store locations on a map.,2022-01-03T16:19:25.957Z,"We are a chain of car washes with 7 active locations, 3 under construction, and potentially two more locations under contract. 

We'd like to create an image of a map with our logos placed where each location is. This will be used on the home page of our website and across our social media accounts. 

Our logos are attached. ","Website Asset, Social Media Imagery, Graphic Design, Illustration",$100
Looking for an Unreal4 map artist/creator for creating nature / forest for ongoing project,2021-12-29T16:50:35.012Z,"Looking for find someone who is wanting to help my indie game project to create a 'hyper' realistic forest and mountain area scene. ( no animals are needed, but this does need to be extremely realistic )
I only have a $300 budget for this first scene, but this budget will increase as I continue to grow our project. 
I want to build an 'open world' for our game, but need this first map to be much smaller.

I want to find an artist that can help with this small project and show off their skills to get ready for a bigger map!

This map should become your top portfolio piece for you to show off your skills.  :-)
","3D Modeling, 3D Design, 3D Rendering, Texturing, Unreal Engine, Gaming, ",$300
$60 per 1000 words - Writer for Digital Content,2021-11-25T04:28:39.395Z,"Hi,

I need a talented and dependable NATIVE ENGLISH (only!) writer to write about digital marketing technology (apps, digital menus, automation services, etc). This will be mostly B2B content. We are looking for someone with experience and solid writing skills. 

We're happy to work on a per-word or per-project basis as opposed to hourly. 

There will be a moderate amount of research involved. The reader needs to get the sense that you're an authority on the topic. 

The tone should be conversational but not stating the obvious--your audience will be pretty well-educated. Overall, the content won't be overly technical but you should provide interesting perspectives/takes on the material. 

We intend for this to be a very long term relationship. We need someone who is ready to be reliable on a weekly basis.

The ideal candidate should be available to write one to two articles per week of around 1000 words. 

We may have other topics for you if you want to take on additional work. 

The test article will be paid as long as it's good enough to publish after some editing!

Provide links to your work in your proposal please!

Feel free to ask questions if you have any. 

Looking forward to potentially working with you! 

Thanks,

    Nate","Article, English, Marketing, ",$60
Interactive UX Design Mock Prototype,2021-11-22T09:57:02.826Z,"Need a UX design and interactive prototype for the concept. Previous experience in startup SaaS, HR space is a plus. Share an interactive prototype design if you have built it in the past.

The app will have:

Dashboard (HR)
Chat app UI

Use one of the tool justinmind/adobe xd/framer/figma to have interactive mock after finishing basic UX design.

Depending on experience the project can be increased in scope with an additional budget.","Prototype, Figma, Interaction Design, Wireframing, Mockup",$100
Redesign Website,2022-01-03T12:25:44.786Z,"Need to redesign a html Website. This is a static site, not complicated.

Website : www.andfreelancer.com

1. Add a video on the first section - like in this site www.andfreelancer.com

2. Hide couple of sections on the site

3. Add an echo system section with 11 Logos.

4. Add a partnership section with 4 or 5 logos. When we make a new partnership I should be able to add the new logo without your help.

5. Add certik logo like this site - https://andfreelancer.com

6. Add another section for Price stabilizer. Its a video and some text.

If you can do this, send me the price and I want this to be done by tomorrow morning.","PHP, Web Design, CSS, HTML",$750
Landing page copy + design,2022-01-07T22:43:19.393Z,"If you are an expert in landing page copy creation and design then we would like to work with you on this project. 

We already have some landing pages done but we believe that a much better job can be done in order to optimize it for conversion and have a better messaging, structure and content there. 

Please provide some examples of landing pages that you have created in the past. We are looking for someone who can work on the copy + design of the page. A figma file could be the deliverable and we will get it developed on wordpress by our own developers. ","Business with 1-9 Employees, Landing Page, Copywriting",$400
Courses - Network Marketing Web site,2022-01-04T17:31:21.532Z,"Basically it is a site that sells courses but at the same time it is a network marketing site.
Anyone has the option to buy access to these courses and at the same time has the option to sell those courses
.
How can I sell those courses after being a buyer? I receive a link. I can direct new buyers to my link and the process can be repeated with new buyers.
.
Every new buyer can make a sale. After that sale you can acquire 2000 in courses to sell paying only $ 30
.
Look at this site for reference https://sistematdc.com/A21954306S/inicio","Website, Software Design, Visual Communication, Responsive Design, Web Programming, Web Design, WordPress, CSS, HTML5",$150
"After Effects to populate videos with info. (Tracking Titles, Layovers, animating roads on maps.)",2020-05-18T18:12:48.089Z,"After Effects Artist needed to populate information onto video.  Must be proficient in animating 2D art onto a video, creating layovers onto moving video, tracking titles and animating roadways on maps.","Adobe After Effects, Adobe Photoshop, Motion Graphics, 2D Animation, Graphic Design, Animation, Logo Design",$300
SEO research / keyword research to name new business for google maps and organic search results,2021-12-17T01:29:58.105Z,"I am opening a new coin shop and I have not picked a name yet.  I will buy and sell coins and investment bars made of precious metals.  I will also buy gold jewelry, watches, and diamonds that people would rather have cash for.  

I want to pick a name that will be great for google maps ranking and great for Google SEO.

I need someone who can do keyword research for my location and help me pick the best company name and keywords to target with my on-site SEO.  I want a list of all the keywords I should go after and I want a breakdown whereby you analyze the competitiveness of the keyword and how often it is searched for.  I want specific recommendations with supporting data for the Google maps company name.

My location is Ponte Vedra Beach, Florida, USA.  The zip code is 32082.

My budget is $50.  Please feel free to bid higher or lower.","Ahrefs, SEO",$50
Social Media Marketing Transfer Support,2021-12-10T00:39:23.446Z,"Require someone to assist transferring business assets of Facebook Page, Instagram and Google business listing to another owner as business has sold

Require facebook page to be disconnected from Ads and Business Manager and new  business manager set up if required
New owner assigned to business facebook page and all other contacts removed
Instagram to be reassigned to a new owner
Google business listing all transferred to new owner

Must have advanced technical skills to ensure this is all executed correctly","Facebook, Social Media Marketing, Instagram",$50
Marketing Strategy for Small Business Website ,2022-01-06T00:18:14.179Z,"I would like a marketing specialist to review my website and offer recommendations on how to more clearly communicate my brand and offerings.

My work is pretty niche. I fear the terminology on my website (e.g. somatics, craniosacral therapy, etc.) makes it hard for people to understand my offerings because most people aren't familiar with these concepts. 

I imagine that this project would be 5 hours or so, and could definitely lead to ongoing work in the future.

Thanks for considering!","Marketing Strategy, Web Design",$500
